Analyse intensité de charge
Chargeur 220v -- Partage de connexion activé
Debut des mesures :     2023-08-24 09:58:52.548582 Charge: 3%
1.50 A / 10:20:43 / 0001308 s
1.50 A / 10:20:45 / 0001310 s
1.38 A / 10:20:47 / 0001312 s
1.38 A / 10:20:49 / 0001314 s
1.38 A / 10:20:51 / 0001316 s
1.20 A / 10:20:53 / 0001318 s
1.20 A / 10:20:55 / 0001320 s
1.20 A / 10:20:57 / 0001322 s
1.33 A / 10:20:59 / 0001324 s
1.33 A / 10:21:01 / 0001326 s
1.33 A / 10:21:03 / 0001328 s
1.33 A / 10:21:05 / 0001330 s
1.20 A / 10:21:07 / 0001332 s
1.20 A / 10:21:09 / 0001334 s
1.20 A / 10:21:11 / 0001336 s
1.20 A / 10:21:13 / 0001338 s
1.30 A / 10:21:15 / 0001340 s
1.30 A / 10:21:17 / 0001342 s
1.30 A / 10:21:19 / 0001344 s
1.18 A / 10:21:21 / 0001346 s
1.18 A / 10:21:23 / 0001348 s
1.18 A / 10:21:25 / 0001350 s
1.18 A / 10:21:27 / 0001352 s
1.18 A / 10:21:29 / 0001354 s
1.18 A / 10:21:31 / 0001356 s
1.18 A / 10:21:33 / 0001358 s
1.28 A / 10:21:35 / 0001360 s
1.10 A / 10:21:37 / 0001362 s
1.23 A / 10:21:39 / 0001364 s
1.23 A / 10:21:41 / 0001366 s
1.23 A / 10:21:43 / 0001368 s
1.23 A / 10:21:45 / 0001370 s
1.23 A / 10:21:47 / 0001372 s
1.23 A / 10:21:49 / 0001374 s
1.23 A / 10:21:51 / 0001376 s
1.23 A / 10:21:53 / 0001378 s
1.23 A / 10:21:55 / 0001380 s
1.23 A / 10:21:57 / 0001382 s
1.33 A / 10:21:59 / 0001384 s
1.33 A / 10:22:01 / 0001386 s
1.33 A / 10:22:03 / 0001388 s
1.33 A / 10:22:05 / 0001390 s
1.33 A / 10:22:07 / 0001392 s
1.23 A / 10:22:09 / 0001394 s
1.23 A / 10:22:11 / 0001396 s
1.23 A / 10:22:13 / 0001398 s
1.38 A / 10:22:15 / 0001400 s
1.38 A / 10:22:17 / 0001402 s
1.38 A / 10:22:19 / 0001404 s
1.38 A / 10:22:21 / 0001406 s
1.38 A / 10:22:23 / 0001408 s
1.38 A / 10:22:25 / 0001410 s
1.53 A / 10:22:27 / 0001412 s
1.35 A / 10:22:29 / 0001414 s
1.35 A / 10:22:31 / 0001416 s
1.23 A / 10:22:33 / 0001418 s
1.23 A / 10:22:35 / 0001420 s
1.23 A / 10:22:37 / 0001422 s
1.23 A / 10:22:39 / 0001424 s
1.23 A / 10:22:41 / 0001426 s
1.23 A / 10:22:43 / 0001428 s
1.45 A / 10:22:45 / 0001430 s
1.25 A / 10:22:47 / 0001432 s
1.25 A / 10:22:49 / 0001434 s
1.25 A / 10:22:51 / 0001436 s
1.25 A / 10:22:53 / 0001438 s
1.25 A / 10:22:55 / 0001440 s
1.25 A / 10:22:57 / 0001442 s
1.25 A / 10:22:59 / 0001444 s
1.25 A / 10:23:01 / 0001446 s
1.40 A / 10:23:03 / 0001448 s
1.30 A / 10:23:05 / 0001450 s
1.30 A / 10:23:07 / 0001452 s
1.30 A / 10:23:09 / 0001454 s
1.30 A / 10:23:11 / 0001456 s
1.30 A / 10:23:13 / 0001458 s
1.30 A / 10:23:15 / 0001460 s
1.30 A / 10:23:17 / 0001462 s
1.30 A / 10:23:19 / 0001464 s
1.30 A / 10:23:21 / 0001466 s
1.30 A / 10:23:23 / 0001468 s
1.30 A / 10:23:25 / 0001470 s
1.30 A / 10:23:27 / 0001472 s
1.20 A / 10:23:29 / 0001474 s
1.30 A / 10:23:31 / 0001476 s
1.30 A / 10:23:33 / 0001478 s
1.20 A / 10:23:35 / 0001480 s
1.20 A / 10:23:37 / 0001482 s
1.20 A / 10:23:39 / 0001484 s
1.20 A / 10:23:41 / 0001486 s
1.20 A / 10:23:43 / 0001488 s
1.20 A / 10:23:45 / 0001490 s
1.20 A / 10:23:47 / 0001492 s
1.20 A / 10:23:49 / 0001494 s
1.30 A / 10:23:51 / 0001496 s
1.30 A / 10:23:53 / 0001498 s
1.30 A / 10:23:55 / 0001500 s
1.18 A / 10:23:57 / 0001502 s
1.18 A / 10:23:59 / 0001504 s
1.30 A / 10:24:01 / 0001506 s
1.30 A / 10:24:03 / 0001508 s
1.48 A / 10:24:05 / 0001510 s
1.33 A / 10:24:07 / 0001512 s
1.33 A / 10:24:09 / 0001514 s
1.43 A / 10:24:11 / 0001516 s
1.33 A / 10:24:13 / 0001518 s
1.33 A / 10:24:15 / 0001520 s
1.33 A / 10:24:17 / 0001522 s
1.33 A / 10:24:19 / 0001524 s
1.33 A / 10:24:21 / 0001526 s
1.33 A / 10:24:23 / 0001528 s
1.23 A / 10:24:25 / 0001530 s
1.23 A / 10:24:27 / 0001532 s
1.23 A / 10:24:29 / 0001534 s
1.23 A / 10:24:31 / 0001536 s
1.23 A / 10:24:33 / 0001538 s
1.35 A / 10:24:36 / 0001540 s
1.35 A / 10:24:38 / 0001542 s
1.35 A / 10:24:40 / 0001544 s
1.35 A / 10:24:42 / 0001546 s
1.35 A / 10:24:44 / 0001548 s
1.35 A / 10:24:46 / 0001550 s
1.35 A / 10:24:48 / 0001552 s
1.20 A / 10:24:50 / 0001554 s
1.35 A / 10:24:52 / 0001556 s
1.25 A / 10:24:54 / 0001558 s
1.25 A / 10:24:56 / 0001560 s
1.25 A / 10:24:58 / 0001562 s
1.25 A / 10:25:00 / 0001564 s
1.25 A / 10:25:02 / 0001566 s
1.25 A / 10:25:04 / 0001568 s
1.25 A / 10:25:06 / 0001570 s
1.25 A / 10:25:08 / 0001572 s
1.38 A / 10:25:10 / 0001574 s
1.38 A / 10:25:12 / 0001576 s
1.38 A / 10:25:14 / 0001578 s
1.38 A / 10:25:16 / 0001580 s
1.38 A / 10:25:18 / 0001582 s
1.38 A / 10:25:20 / 0001584 s
1.38 A / 10:25:22 / 0001586 s
1.13 A / 10:25:24 / 0001588 s
1.25 A / 10:25:26 / 0001590 s
1.15 A / 10:25:28 / 0001592 s
1.15 A / 10:25:30 / 0001594 s
1.15 A / 10:25:32 / 0001596 s
1.30 A / 10:25:34 / 0001598 s
1.20 A / 10:25:36 / 0001600 s
1.20 A / 10:25:38 / 0001602 s
1.20 A / 10:25:40 / 0001604 s
1.20 A / 10:25:42 / 0001606 s
1.20 A / 10:25:44 / 0001608 s
1.20 A / 10:25:46 / 0001610 s
1.20 A / 10:25:48 / 0001612 s
1.20 A / 10:25:50 / 0001614 s
1.20 A / 10:25:52 / 0001616 s
1.20 A / 10:25:54 / 0001618 s
1.20 A / 10:25:56 / 0001620 s
1.20 A / 10:25:58 / 0001622 s
1.20 A / 10:26:00 / 0001624 s
1.20 A / 10:26:02 / 0001626 s
1.20 A / 10:26:04 / 0001628 s
1.20 A / 10:26:06 / 0001630 s
1.20 A / 10:26:08 / 0001632 s
1.20 A / 10:26:10 / 0001634 s
1.20 A / 10:26:12 / 0001636 s
1.33 A / 10:26:14 / 0001638 s
1.23 A / 10:26:16 / 0001640 s
1.23 A / 10:26:18 / 0001642 s
1.23 A / 10:26:20 / 0001644 s
1.23 A / 10:26:22 / 0001646 s
1.10 A / 10:26:24 / 0001648 s
1.20 A / 10:26:26 / 0001650 s
1.20 A / 10:26:28 / 0001652 s
1.20 A / 10:26:30 / 0001654 s
1.20 A / 10:26:32 / 0001656 s
1.20 A / 10:26:34 / 0001658 s
1.20 A / 10:26:36 / 0001660 s
1.20 A / 10:26:38 / 0001662 s
1.20 A / 10:26:40 / 0001664 s
1.20 A / 10:26:42 / 0001666 s
1.20 A / 10:26:44 / 0001668 s
1.20 A / 10:26:46 / 0001670 s
1.20 A / 10:26:48 / 0001672 s
1.30 A / 10:26:50 / 0001674 s
1.30 A / 10:26:52 / 0001676 s
1.30 A / 10:26:54 / 0001678 s
1.18 A / 10:26:56 / 0001680 s
1.18 A / 10:26:58 / 0001682 s
1.18 A / 10:27:00 / 0001684 s
1.18 A / 10:27:02 / 0001686 s
1.18 A / 10:27:04 / 0001688 s
1.18 A / 10:27:06 / 0001690 s
1.18 A / 10:27:08 / 0001692 s
1.28 A / 10:27:10 / 0001694 s
1.28 A / 10:27:12 / 0001696 s
1.28 A / 10:27:14 / 0001698 s
1.18 A / 10:27:16 / 0001700 s
1.18 A / 10:27:18 / 0001702 s
1.18 A / 10:27:20 / 0001704 s
1.18 A / 10:27:22 / 0001706 s
1.18 A / 10:27:24 / 0001708 s
1.18 A / 10:27:26 / 0001710 s
1.18 A / 10:27:28 / 0001712 s
1.18 A / 10:27:30 / 0001714 s
1.18 A / 10:27:32 / 0001716 s
1.18 A / 10:27:34 / 0001718 s
1.18 A / 10:27:36 / 0001720 s
1.28 A / 10:27:38 / 0001722 s
1.28 A / 10:27:40 / 0001724 s
1.18 A / 10:27:42 / 0001726 s
1.18 A / 10:27:44 / 0001728 s
1.18 A / 10:27:46 / 0001730 s
1.18 A / 10:27:48 / 0001732 s
1.18 A / 10:27:50 / 0001734 s
1.18 A / 10:27:52 / 0001736 s
1.18 A / 10:27:54 / 0001738 s
1.18 A / 10:27:56 / 0001740 s
1.18 A / 10:27:58 / 0001742 s
1.28 A / 10:28:00 / 0001744 s
1.18 A / 10:28:02 / 0001746 s
1.18 A / 10:28:04 / 0001748 s
1.18 A / 10:28:06 / 0001750 s
1.18 A / 10:28:08 / 0001752 s
1.18 A / 10:28:10 / 0001754 s
1.18 A / 10:28:12 / 0001756 s
1.18 A / 10:28:14 / 0001758 s
1.18 A / 10:28:16 / 0001760 s
1.18 A / 10:28:18 / 0001762 s
1.18 A / 10:28:20 / 0001764 s
1.18 A / 10:28:22 / 0001766 s
1.08 A / 10:28:24 / 0001768 s
1.20 A / 10:28:26 / 0001770 s
1.20 A / 10:28:28 / 0001772 s
1.20 A / 10:28:30 / 0001774 s
1.20 A / 10:28:32 / 0001776 s
1.20 A / 10:28:34 / 0001778 s
1.20 A / 10:28:36 / 0001780 s
1.20 A / 10:28:38 / 0001782 s
1.20 A / 10:28:40 / 0001784 s
1.20 A / 10:28:42 / 0001786 s
1.20 A / 10:28:44 / 0001788 s
1.20 A / 10:28:46 / 0001790 s
1.20 A / 10:28:48 / 0001792 s
1.20 A / 10:28:50 / 0001794 s
1.20 A / 10:28:52 / 0001796 s
1.20 A / 10:28:54 / 0001798 s
1.20 A / 10:28:56 / 0001800 s
1.20 A / 10:28:58 / 0001802 s
1.20 A / 10:29:00 / 0001804 s
1.20 A / 10:29:02 / 0001806 s
1.20 A / 10:29:04 / 0001808 s
1.20 A / 10:29:06 / 0001810 s
1.20 A / 10:29:08 / 0001812 s
1.20 A / 10:29:10 / 0001814 s
1.20 A / 10:29:12 / 0001816 s
1.30 A / 10:29:14 / 0001818 s
1.30 A / 10:29:16 / 0001820 s
1.30 A / 10:29:18 / 0001822 s
1.30 A / 10:29:20 / 0001824 s
1.30 A / 10:29:22 / 0001826 s
1.20 A / 10:29:24 / 0001828 s
1.20 A / 10:29:26 / 0001830 s
1.30 A / 10:29:28 / 0001832 s
1.20 A / 10:29:30 / 0001834 s
1.20 A / 10:29:32 / 0001836 s
1.20 A / 10:29:34 / 0001838 s
1.20 A / 10:29:36 / 0001840 s
1.20 A / 10:29:38 / 0001842 s
1.20 A / 10:29:40 / 0001844 s
1.20 A / 10:29:42 / 0001846 s
1.20 A / 10:29:44 / 0001848 s
1.30 A / 10:29:46 / 0001850 s
1.20 A / 10:29:48 / 0001852 s
1.20 A / 10:29:50 / 0001854 s
1.20 A / 10:29:52 / 0001856 s
1.35 A / 10:29:54 / 0001858 s
1.23 A / 10:29:56 / 0001860 s
1.23 A / 10:29:58 / 0001862 s
1.10 A / 10:30:00 / 0001864 s
1.25 A / 10:30:02 / 0001866 s
1.25 A / 10:30:04 / 0001868 s
1.25 A / 10:30:06 / 0001870 s
1.25 A / 10:30:08 / 0001872 s
1.25 A / 10:30:10 / 0001874 s
1.25 A / 10:30:12 / 0001876 s
1.25 A / 10:30:14 / 0001878 s
1.25 A / 10:30:16 / 0001880 s
1.25 A / 10:30:18 / 0001882 s
1.25 A / 10:30:20 / 0001884 s
1.15 A / 10:30:22 / 0001886 s
1.15 A / 10:30:24 / 0001888 s
1.15 A / 10:30:26 / 0001890 s
1.15 A / 10:30:28 / 0001892 s
1.15 A / 10:30:30 / 0001894 s
1.15 A / 10:30:32 / 0001896 s
1.15 A / 10:30:34 / 0001898 s
1.15 A / 10:30:36 / 0001900 s
1.15 A / 10:30:38 / 0001902 s
1.15 A / 10:30:40 / 0001904 s
1.30 A / 10:30:42 / 0001906 s
1.30 A / 10:30:44 / 0001908 s
1.30 A / 10:30:46 / 0001910 s
1.20 A / 10:30:48 / 0001912 s
1.20 A / 10:30:50 / 0001914 s
1.20 A / 10:30:52 / 0001916 s
1.20 A / 10:30:54 / 0001918 s
1.20 A / 10:30:56 / 0001920 s
1.20 A / 10:30:58 / 0001922 s
1.20 A / 10:31:00 / 0001924 s
1.38 A / 10:31:02 / 0001926 s
1.25 A / 10:31:04 / 0001928 s
1.25 A / 10:31:06 / 0001930 s
1.25 A / 10:31:08 / 0001932 s
1.25 A / 10:31:10 / 0001934 s
1.25 A / 10:31:12 / 0001936 s
1.25 A / 10:31:14 / 0001938 s
1.15 A / 10:31:16 / 0001940 s
1.15 A / 10:31:18 / 0001942 s
1.25 A / 10:31:20 / 0001944 s
1.15 A / 10:31:22 / 0001946 s
1.15 A / 10:31:24 / 0001948 s
1.25 A / 10:31:26 / 0001950 s
1.25 A / 10:31:28 / 0001952 s
1.25 A / 10:31:30 / 0001954 s
1.25 A / 10:31:32 / 0001956 s
1.25 A / 10:31:34 / 0001958 s
1.15 A / 10:31:36 / 0001960 s
1.15 A / 10:31:38 / 0001962 s
1.15 A / 10:31:40 / 0001964 s
1.15 A / 10:31:42 / 0001966 s
1.15 A / 10:31:44 / 0001968 s
1.15 A / 10:31:46 / 0001970 s
1.15 A / 10:31:48 / 0001972 s
1.15 A / 10:31:50 / 0001974 s
1.15 A / 10:31:52 / 0001976 s
1.15 A / 10:31:54 / 0001978 s
1.15 A / 10:31:56 / 0001980 s
1.35 A / 10:31:58 / 0001982 s
1.25 A / 10:32:00 / 0001984 s
1.15 A / 10:32:02 / 0001986 s
1.15 A / 10:32:04 / 0001988 s
1.25 A / 10:32:06 / 0001990 s
1.25 A / 10:32:08 / 0001992 s
1.25 A / 10:32:10 / 0001994 s
1.25 A / 10:32:12 / 0001996 s
1.25 A / 10:32:14 / 0001998 s
1.25 A / 10:32:16 / 0002000 s
1.25 A / 10:32:18 / 0002002 s
1.13 A / 10:32:20 / 0002004 s
1.13 A / 10:32:22 / 0002006 s
1.23 A / 10:32:24 / 0002008 s
1.13 A / 10:32:26 / 0002010 s
1.25 A / 10:32:28 / 0002012 s
1.25 A / 10:32:30 / 0002014 s
1.25 A / 10:32:32 / 0002016 s
1.25 A / 10:32:34 / 0002018 s
1.25 A / 10:32:36 / 0002020 s
1.25 A / 10:32:38 / 0002022 s
1.25 A / 10:32:40 / 0002024 s
1.25 A / 10:32:42 / 0002026 s
1.25 A / 10:32:44 / 0002028 s
1.15 A / 10:32:46 / 0002030 s
1.28 A / 10:32:48 / 0002032 s
1.15 A / 10:32:50 / 0002034 s
1.15 A / 10:32:52 / 0002036 s
1.15 A / 10:32:54 / 0002038 s
1.30 A / 10:32:56 / 0002040 s
1.30 A / 10:32:58 / 0002042 s
1.15 A / 10:33:00 / 0002044 s
1.25 A / 10:33:02 / 0002046 s
1.25 A / 10:33:04 / 0002048 s
1.25 A / 10:33:06 / 0002050 s
1.25 A / 10:33:08 / 0002052 s
1.25 A / 10:33:10 / 0002054 s
1.25 A / 10:33:12 / 0002056 s
1.25 A / 10:33:14 / 0002058 s
1.25 A / 10:33:16 / 0002060 s
1.25 A / 10:33:18 / 0002062 s
1.25 A / 10:33:20 / 0002064 s
1.25 A / 10:33:22 / 0002066 s
1.25 A / 10:33:24 / 0002068 s
1.25 A / 10:33:26 / 0002070 s
1.25 A / 10:33:28 / 0002072 s
1.25 A / 10:33:30 / 0002074 s
1.10 A / 10:33:32 / 0002076 s
1.10 A / 10:33:34 / 0002078 s
1.23 A / 10:33:36 / 0002080 s
1.13 A / 10:33:38 / 0002082 s
1.13 A / 10:33:40 / 0002084 s
1.13 A / 10:33:42 / 0002086 s
1.13 A / 10:33:44 / 0002088 s
1.23 A / 10:33:46 / 0002090 s
1.23 A / 10:33:48 / 0002092 s
1.23 A / 10:33:50 / 0002094 s
1.23 A / 10:33:52 / 0002096 s
1.23 A / 10:33:54 / 0002098 s
1.23 A / 10:33:56 / 0002100 s
1.23 A / 10:33:58 / 0002102 s
1.23 A / 10:34:00 / 0002104 s
1.23 A / 10:34:02 / 0002106 s
1.23 A / 10:34:04 / 0002108 s
1.23 A / 10:34:06 / 0002110 s
1.23 A / 10:34:08 / 0002112 s
0.45 A / 10:34:10 / 0002114 s
2.13 A / 10:34:12 / 0002116 s
0.48 A / 10:34:14 / 0002118 s
0.48 A / 10:34:16 / 0002120 s
0.85 A / 10:34:18 / 0002122 s
1.20 A / 10:34:20 / 0002124 s
1.30 A / 10:34:22 / 0002126 s
1.40 A / 10:34:24 / 0002128 s
1.40 A / 10:34:26 / 0002130 s
1.40 A / 10:34:28 / 0002132 s
1.40 A / 10:34:30 / 0002134 s
1.25 A / 10:34:32 / 0002136 s
1.25 A / 10:34:34 / 0002138 s
1.25 A / 10:34:36 / 0002140 s
1.25 A / 10:34:38 / 0002142 s
1.25 A / 10:34:40 / 0002144 s
1.25 A / 10:34:42 / 0002146 s
1.25 A / 10:34:44 / 0002148 s
1.25 A / 10:34:46 / 0002150 s
1.25 A / 10:34:48 / 0002152 s
1.25 A / 10:34:50 / 0002154 s
1.25 A / 10:34:52 / 0002156 s
1.25 A / 10:34:54 / 0002158 s
1.40 A / 10:34:56 / 0002160 s
1.40 A / 10:34:58 / 0002162 s
1.40 A / 10:35:00 / 0002164 s
1.30 A / 10:35:02 / 0002166 s
1.48 A / 10:35:04 / 0002168 s
1.38 A / 10:35:06 / 0002170 s
1.38 A / 10:35:08 / 0002172 s
1.38 A / 10:35:10 / 0002174 s
1.38 A / 10:35:12 / 0002176 s
1.48 A / 10:35:14 / 0002178 s
1.48 A / 10:35:16 / 0002180 s
1.33 A / 10:35:18 / 0002182 s
1.48 A / 10:35:20 / 0002184 s
1.48 A / 10:35:22 / 0002186 s
1.48 A / 10:35:24 / 0002188 s
1.48 A / 10:35:26 / 0002190 s
1.48 A / 10:35:28 / 0002192 s
1.35 A / 10:35:30 / 0002194 s
1.35 A / 10:35:32 / 0002196 s
1.35 A / 10:35:34 / 0002198 s
1.35 A / 10:35:36 / 0002200 s
1.35 A / 10:35:38 / 0002202 s
1.25 A / 10:35:40 / 0002204 s
1.38 A / 10:35:42 / 0002206 s
1.38 A / 10:35:44 / 0002208 s
1.15 A / 10:35:46 / 0002210 s
1.15 A / 10:35:48 / 0002212 s
1.40 A / 10:35:50 / 0002214 s
1.40 A / 10:35:52 / 0002216 s
1.40 A / 10:35:54 / 0002218 s
1.40 A / 10:35:56 / 0002220 s
1.28 A / 10:35:58 / 0002222 s
1.28 A / 10:36:00 / 0002224 s
1.28 A / 10:36:02 / 0002226 s
1.28 A / 10:36:04 / 0002228 s
1.40 A / 10:36:06 / 0002230 s
1.28 A / 10:36:08 / 0002232 s
1.28 A / 10:36:10 / 0002234 s
1.28 A / 10:36:12 / 0002236 s
1.28 A / 10:36:14 / 0002238 s
1.38 A / 10:36:16 / 0002240 s
1.25 A / 10:36:18 / 0002242 s
1.25 A / 10:36:20 / 0002244 s
1.25 A / 10:36:22 / 0002246 s
1.25 A / 10:36:24 / 0002248 s
1.25 A / 10:36:26 / 0002250 s
1.15 A / 10:36:28 / 0002252 s
1.30 A / 10:36:30 / 0002254 s
1.30 A / 10:36:32 / 0002256 s
1.13 A / 10:36:34 / 0002258 s
1.28 A / 10:36:36 / 0002260 s
1.28 A / 10:36:38 / 0002262 s
1.08 A / 10:36:40 / 0002264 s
1.08 A / 10:36:42 / 0002266 s
1.18 A / 10:36:44 / 0002268 s
1.30 A / 10:36:46 / 0002270 s
1.20 A / 10:36:48 / 0002272 s
1.20 A / 10:36:50 / 0002274 s
1.20 A / 10:36:52 / 0002276 s
1.20 A / 10:36:54 / 0002278 s
1.20 A / 10:36:56 / 0002280 s
1.20 A / 10:36:58 / 0002282 s
1.10 A / 10:37:00 / 0002284 s
1.10 A / 10:37:02 / 0002286 s
1.10 A / 10:37:04 / 0002288 s
1.10 A / 10:37:06 / 0002290 s
1.10 A / 10:37:09 / 0002292 s
1.10 A / 10:37:11 / 0002294 s
1.23 A / 10:37:13 / 0002296 s
1.23 A / 10:37:15 / 0002298 s
1.23 A / 10:37:17 / 0002300 s
1.10 A / 10:37:19 / 0002302 s
1.28 A / 10:37:21 / 0002304 s
1.15 A / 10:37:23 / 0002306 s
1.33 A / 10:37:25 / 0002308 s
1.18 A / 10:37:27 / 0002310 s
1.18 A / 10:37:29 / 0002312 s
1.03 A / 10:37:31 / 0002314 s
1.13 A / 10:37:33 / 0002316 s
1.13 A / 10:37:35 / 0002318 s
1.13 A / 10:37:37 / 0002320 s
1.13 A / 10:37:39 / 0002322 s
1.03 A / 10:37:41 / 0002324 s
1.13 A / 10:37:54 / 0002326 s
1.13 A / 10:37:56 / 0002328 s
1.13 A / 10:37:58 / 0002330 s
1.13 A / 10:38:00 / 0002332 s
1.13 A / 10:38:02 / 0002334 s
1.03 A / 10:38:04 / 0002336 s
1.15 A / 10:38:06 / 0002338 s
1.05 A / 10:38:08 / 0002340 s
1.05 A / 10:38:10 / 0002342 s
1.05 A / 10:38:12 / 0002344 s
1.15 A / 10:38:14 / 0002346 s
1.28 A / 10:38:16 / 0002348 s
1.13 A / 10:38:18 / 0002350 s
1.13 A / 10:38:20 / 0002352 s
1.13 A / 10:38:22 / 0002354 s
1.13 A / 10:38:24 / 0002356 s
1.13 A / 10:38:26 / 0002358 s
1.13 A / 10:38:28 / 0002360 s
1.13 A / 10:38:30 / 0002362 s
1.13 A / 10:38:32 / 0002364 s
1.13 A / 10:38:34 / 0002366 s
1.13 A / 10:38:36 / 0002368 s
1.13 A / 10:38:38 / 0002370 s
1.13 A / 10:38:40 / 0002372 s
1.13 A / 10:38:42 / 0002374 s
1.13 A / 10:38:44 / 0002376 s
1.13 A / 10:38:46 / 0002378 s
1.13 A / 10:38:48 / 0002380 s
1.13 A / 10:38:50 / 0002382 s
1.13 A / 10:38:52 / 0002384 s
1.13 A / 10:38:54 / 0002386 s
1.13 A / 10:38:56 / 0002388 s
1.13 A / 10:38:58 / 0002390 s
1.13 A / 10:39:00 / 0002392 s
1.03 A / 10:39:02 / 0002394 s
1.20 A / 10:39:04 / 0002396 s
1.20 A / 10:39:06 / 0002398 s
1.20 A / 10:39:08 / 0002400 s
1.10 A / 10:39:10 / 0002402 s
1.25 A / 10:39:12 / 0002404 s
1.25 A / 10:39:14 / 0002406 s
1.15 A / 10:39:16 / 0002408 s
1.15 A / 10:39:18 / 0002410 s
1.15 A / 10:39:20 / 0002412 s
1.00 A / 10:39:22 / 0002414 s
1.00 A / 10:39:24 / 0002416 s
1.15 A / 10:39:26 / 0002418 s
1.15 A / 10:39:28 / 0002420 s
1.15 A / 10:39:30 / 0002422 s
1.15 A / 10:39:32 / 0002424 s
1.05 A / 10:39:34 / 0002426 s
1.05 A / 10:39:36 / 0002428 s
1.05 A / 10:39:38 / 0002430 s
1.15 A / 10:39:40 / 0002432 s
1.15 A / 10:39:42 / 0002434 s
1.15 A / 10:39:44 / 0002436 s
1.15 A / 10:39:46 / 0002438 s
1.15 A / 10:39:48 / 0002440 s
1.15 A / 10:39:50 / 0002442 s
1.15 A / 10:39:52 / 0002444 s
1.15 A / 10:39:54 / 0002446 s
1.15 A / 10:39:56 / 0002448 s
1.15 A / 10:39:58 / 0002450 s
1.15 A / 10:40:00 / 0002452 s
1.15 A / 10:40:02 / 0002454 s
1.28 A / 10:40:04 / 0002456 s
1.28 A / 10:40:06 / 0002458 s
1.40 A / 10:40:08 / 0002460 s
1.13 A / 10:40:10 / 0002462 s
1.13 A / 10:40:12 / 0002464 s
1.13 A / 10:40:14 / 0002466 s
1.13 A / 10:40:16 / 0002468 s
1.13 A / 10:40:18 / 0002470 s
1.13 A / 10:40:20 / 0002472 s
1.13 A / 10:40:22 / 0002474 s
1.13 A / 10:40:24 / 0002476 s
1.13 A / 10:40:26 / 0002478 s
1.23 A / 10:40:28 / 0002480 s
1.10 A / 10:40:30 / 0002482 s
1.28 A / 10:40:32 / 0002484 s
1.15 A / 10:40:34 / 0002486 s
1.15 A / 10:40:36 / 0002488 s
0.45 A / 10:40:38 / 0002490 s
2.15 A / 10:40:41 / 0002492 s
0.38 A / 10:40:43 / 0002494 s
0.38 A / 10:40:45 / 0002496 s
0.85 A / 10:40:47 / 0002498 s
1.10 A / 10:40:49 / 0002500 s
1.10 A / 10:40:51 / 0002502 s
1.10 A / 10:40:53 / 0002504 s
1.20 A / 10:40:55 / 0002506 s
1.20 A / 10:40:57 / 0002508 s
1.20 A / 10:40:59 / 0002510 s
1.10 A / 10:41:01 / 0002512 s
1.28 A / 10:41:03 / 0002514 s
1.03 A / 10:41:05 / 0002516 s
1.25 A / 10:41:07 / 0002518 s
1.08 A / 10:41:09 / 0002520 s
1.08 A / 10:41:11 / 0002522 s
1.18 A / 10:41:13 / 0002524 s
1.18 A / 10:41:15 / 0002526 s
1.08 A / 10:41:17 / 0002528 s
1.08 A / 10:41:19 / 0002530 s
1.08 A / 10:41:21 / 0002532 s
1.25 A / 10:41:23 / 0002534 s
1.13 A / 10:41:25 / 0002536 s
1.25 A / 10:41:27 / 0002538 s
1.38 A / 10:41:29 / 0002540 s
1.25 A / 10:41:31 / 0002542 s
1.25 A / 10:41:33 / 0002544 s
1.10 A / 10:41:35 / 0002546 s
1.10 A / 10:41:37 / 0002548 s
1.10 A / 10:41:39 / 0002550 s
1.10 A / 10:41:41 / 0002552 s
1.10 A / 10:41:43 / 0002554 s
1.10 A / 10:41:45 / 0002556 s
1.10 A / 10:41:47 / 0002558 s
1.10 A / 10:41:49 / 0002560 s
1.10 A / 10:41:51 / 0002562 s
1.10 A / 10:41:53 / 0002564 s
1.10 A / 10:41:55 / 0002566 s
1.10 A / 10:41:57 / 0002568 s
1.10 A / 10:41:59 / 0002570 s
1.10 A / 10:42:01 / 0002572 s
1.10 A / 10:42:03 / 0002574 s
1.10 A / 10:42:05 / 0002576 s
1.10 A / 10:42:07 / 0002578 s
1.10 A / 10:42:09 / 0002580 s
1.30 A / 10:42:11 / 0002582 s
1.30 A / 10:42:13 / 0002584 s
1.30 A / 10:42:15 / 0002586 s
1.30 A / 10:42:17 / 0002588 s
1.10 A / 10:42:19 / 0002590 s
1.10 A / 10:42:21 / 0002592 s
1.20 A / 10:42:23 / 0002594 s
1.08 A / 10:42:25 / 0002596 s
1.20 A / 10:42:27 / 0002598 s
1.05 A / 10:42:29 / 0002600 s
1.15 A / 10:42:31 / 0002602 s
1.05 A / 10:42:33 / 0002604 s
1.15 A / 10:42:35 / 0002606 s
1.05 A / 10:42:37 / 0002608 s
1.20 A / 10:42:39 / 0002610 s
1.08 A / 10:42:41 / 0002612 s
1.08 A / 10:42:43 / 0002614 s
1.18 A / 10:42:45 / 0002616 s
1.18 A / 10:42:47 / 0002618 s
1.18 A / 10:42:49 / 0002620 s
1.18 A / 10:42:51 / 0002622 s
1.18 A / 10:42:53 / 0002624 s
1.18 A / 10:42:55 / 0002626 s
1.18 A / 10:42:57 / 0002628 s
1.18 A / 10:42:59 / 0002630 s
1.18 A / 10:43:01 / 0002632 s
