Analyse intensité de charge
Chargeur 220v -- Partage de connexion activé
Debut des mesures :     2023-08-24 09:58:52.548582 Charge: 3%
1.88 A / 10:03:50 / 0000298 s
1.88 A / 10:03:52 / 0000300 s
1.88 A / 10:03:54 / 0000302 s
1.98 A / 10:03:56 / 0000304 s
1.85 A / 10:03:58 / 0000306 s
1.85 A / 10:04:00 / 0000308 s
1.98 A / 10:04:02 / 0000310 s
1.98 A / 10:04:04 / 0000312 s
2.08 A / 10:04:06 / 0000314 s
1.93 A / 10:04:08 / 0000316 s
1.93 A / 10:04:10 / 0000318 s
1.83 A / 10:04:12 / 0000320 s
1.83 A / 10:04:14 / 0000322 s
1.83 A / 10:04:17 / 0000324 s
1.93 A / 10:04:19 / 0000326 s
1.93 A / 10:04:21 / 0000328 s
1.93 A / 10:04:23 / 0000330 s
1.93 A / 10:04:25 / 0000332 s
1.93 A / 10:04:27 / 0000334 s
1.93 A / 10:04:29 / 0000336 s
1.93 A / 10:04:31 / 0000338 s
1.93 A / 10:04:33 / 0000340 s
1.93 A / 10:04:35 / 0000342 s
2.03 A / 10:04:37 / 0000344 s
1.90 A / 10:04:39 / 0000346 s
1.90 A / 10:04:41 / 0000348 s
1.90 A / 10:04:43 / 0000350 s
2.00 A / 10:04:45 / 0000352 s
2.00 A / 10:04:47 / 0000354 s
2.00 A / 10:04:49 / 0000356 s
2.00 A / 10:04:51 / 0000358 s
2.00 A / 10:04:53 / 0000360 s
1.90 A / 10:04:55 / 0000362 s
1.90 A / 10:04:57 / 0000364 s
2.03 A / 10:04:59 / 0000366 s
1.85 A / 10:05:01 / 0000368 s
1.85 A / 10:05:03 / 0000370 s
1.98 A / 10:05:05 / 0000372 s
1.85 A / 10:05:07 / 0000374 s
1.85 A / 10:05:09 / 0000376 s
1.85 A / 10:05:11 / 0000378 s
1.85 A / 10:05:13 / 0000380 s
1.85 A / 10:05:15 / 0000382 s
1.70 A / 10:05:17 / 0000384 s
1.90 A / 10:05:19 / 0000386 s
1.90 A / 10:05:21 / 0000388 s
1.90 A / 10:05:23 / 0000390 s
1.90 A / 10:05:25 / 0000392 s
1.90 A / 10:05:27 / 0000394 s
1.90 A / 10:05:29 / 0000396 s
1.90 A / 10:05:31 / 0000398 s
1.90 A / 10:05:33 / 0000400 s
1.90 A / 10:05:35 / 0000402 s
1.75 A / 10:05:37 / 0000404 s
1.75 A / 10:05:39 / 0000406 s
1.75 A / 10:05:41 / 0000408 s
1.75 A / 10:05:43 / 0000410 s
1.75 A / 10:05:45 / 0000412 s
1.75 A / 10:05:47 / 0000414 s
1.75 A / 10:05:49 / 0000416 s
1.75 A / 10:05:51 / 0000418 s
1.75 A / 10:05:53 / 0000420 s
1.75 A / 10:05:55 / 0000422 s
1.75 A / 10:05:57 / 0000424 s
1.75 A / 10:05:59 / 0000426 s
1.75 A / 10:06:01 / 0000428 s
1.75 A / 10:06:03 / 0000430 s
1.75 A / 10:06:05 / 0000432 s
1.75 A / 10:06:07 / 0000434 s
1.75 A / 10:06:09 / 0000436 s
1.75 A / 10:06:11 / 0000438 s
